Place_ID,Place_Name,District,Category,Description,Latitude,Longitude,Address,Entry_Fee_INR,Opening_Time,Closing_Time,Best_Season,Visit_Duration_Hours,Popularity_Level,Family_Friendly,Adventure_Level,Accessibility,Parking_Available,Washroom_Available,Wheelchair_Accessible,Official_Website,Image_URL,Status,Created_Date,Updated_Date
MP001,Loktak Lake,Bishnupur,Nature & Wildlife,"Largest freshwater lake in Northeast India, famous for its floating phumdis (heterogeneous mass of vegetation, soil, and organic matter) and serves as a lifeline for the local fishing community. The lake hosts the only floating national park in the world.",24.55,93.8,"Loktak Lake, Bishnupur District, Manipur",0,Open All Day,Open All Day,Winter,3,High,Yes,Medium,Excellent,Yes,Yes,No,https://manipurtourism.gov.in,https://example.com/loktak.jpg,Open,12-05-2023,20-11-2025
MP001,Loktak Lake,Bishnupur,Nature & Wildlife,"Largest freshwater lake in Northeast India, famous for its floating phumdis (heterogeneous mass of vegetation, soil, and organic matter) and serves as a lifeline for the local fishing community. The lake hosts the only floating national park in the world.",24.55,93.8,"Loktak Lake, Bishnupur District, Manipur",0,Open All Day,Open All Day,Winter,3,High,Yes,Medium,Excellent,Yes,Yes,No,https://manipurtourism.gov.in,https://example.com/loktak.jpg,Open,10-06-2023,01-12-2025
MP002,Keibul Lamjao National Park,bishnupur,Wildlife,"World's only floating national park located on Loktak Lake. It is the last natural refuge of the endangered Sangai deer (brow-antlered deer), which gracefully walks on the floating biomass. The park is a biodiversity hotspot.",24.5,93.8,"Near Loktak Lake, Bishnupur District, Manipur",50,09:00 Ayuk,05:00 Nungthil,Winter,4,High,Yes,Medium,Good,Yes,No,No,https://manipurtourism.gov.in,https://example.com/keibul.jpg,Open,15-07-2023,10-10-2025
MP003,Kangla Fort,Imphal East,Historical & Cultural,"Historical embodiment of Manipur's power till 1891. The fort complex contains ancient temples, royal palaces, a moat, and two towering gateways. It serves as a symbol of Manipuri identity and is surrounded by lush gardens.",24.8167,93.95,"Palace Compound, Imphal East, Manipur",30,09:00 Ayuk,05:00 Nungthil,Winter,2,High,Yes,Low,Excellent,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/kangla.jpg,Open,20-01-2024,05-09-2025
MP003,Kangla Fort,Imphal East,Historical & Cultural,"Historical embodiment of Manipur's power till 1891. The fort complex contains ancient temples, royal palaces, a moat, and two towering gateways. It serves as a symbol of Manipuri identity and is surrounded by lush gardens.",24.8167,93.95,"Palace Compound, Imphal East, Manipur",30,09:00 Ayuk,05:00 Nungthil,Winter,2,High,Yes,Low,Excellent,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/kangla.jpg,Open,20-01-2024,05-09-2025
MP004,Shree Shree Govindajee Temple,Imphal East,Religious,"Historic Vaishnavite centre featuring twin golden domes and a paved courtyard. The temple houses shrines of Lord Krishna, Balaram, and Jagannath. It attracts thousands of devotees during Rath Yatra festival.",24.8167,93.9333,"Palace Compound, Imphal East, Manipur",0,05:00 Ayuk,08:00 Nungthil,All Season,1,High,Yes,Low,Excellent,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/govindajee.jpg,Open,25-03-2023,15-08-2025
MP005,Khwairamband Bazar (Ima Keithel),BISHNUPUR,Cultural,"Asia's largest all-women market run by over 3,000 'Imas' (mothers). They sell fresh vegetables, fruits, handmade textiles, and traditional household goods. It is a vibrant cultural landmark.",24.8167,93.9333,"Imphal West, Manipur",0,06:00 Ayuk,08:00 Nungthil,All Season,2,High,Yes,Low,Good,No,No,No,https://manipurtourism.gov.in,https://example.com/ima.jpg,Open,01-09-2023,12-12-2025
MP006,Manipur State Museum,Imphal West,Historical,"An anthropological museum with rich collections of tribal heritage, portraits of former rulers, traditional costumes, arms, and ancient manuscripts. The museum also displays rare coins and musical instruments.",24.8,93.9333,"Near Polo Ground, Imphal West, Manipur",15,10:00 Ayuk,04:30 Nungthil,Winter,2,Medium,Yes,Low,Excellent,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/museum.jpg,Open,14-02-2024,20-07-2025
MP007,War Cemetery,Imphal East,Historical,"Commemorates the British and Indian soldiers who died during World War II. Managed by the Commonwealth War Graves Commission, it features perfectly maintained stone markers and bronze plaques.",24.8167,93.95,"Hatta Golapati, Imphal East, Manipur",0,,05:00 Nungthil,Winter,1,Medium,Yes,Low,Good,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/war.jpg,Open,10-08-2023,25-06-2025
MP008,Manipur Zoological Garden,Imphal West,nature,"Home to the rare Sangai deer and various endangered species like the Himalayan black bear and python. Located at the foot of pine-growing hillocks, it offers a pleasant escape into nature.",24.7667,93.8833,"Iroisemba, Imphal-Kangchup Road, Imphal West, Manipur",30,09:00 Ayuk,05:00 Nungthil,Winter,3,High,Yes,Medium,Good,Yes,Yes,No,https://manipurtourism.gov.in,https://example.com/zoo.jpg,Open,11-11-2023,18-09-2025
MP009,Loukoi Pat,Bishnupur,Lake,Small aesthetically pleasing lake surrounded by green foliage-rich hillocks. Offers boating facilities and a tranquil environment for picnics. The view of the sunset over the hills is spectacular.,24.6333,93.7667,"Tiddim Road, NH-150, Bishnupur, Manipur",20,08:00 Ayuk,05:00 Nungthil,Winter,2,Medium,Yes,Low,Good,Yes,Yes,No,https://manipurtourism.gov.in,https://example.com/loukoi.jpg,Open,05-04-2024,30-10-2025
MP010,Khonghampat Orchidarium,Imphal West,Natural,"Covers 200 acres with over 110 rare varieties of orchids, including dozens of endemic species. The peak blooming season is March-April when the entire garden bursts into vibrant colours.",24.8,93.9,"National Highway No. 39, Imphal West, Manipur",30,09:00 Ayuk,05:00 Nungthil,Spring,2,Medium,Yes,Low,Excellent,Yes,Yes,Yes,https://manipurtourism.gov.in,https://example.com/orchid.jpg,Open,01-12-2023,01-11-2025
MP011,Bishnupur Temple (Vishnu Temple),bishnupur,Religious,A 15th-century Vishnu temple built of small bricks with Chinese architectural influence during King Kiyamba's reign. The temple is a protected monument and the town is also known for chiselled stoneware.,24.6333,93.7667,"Bishnupur, Manipur",0,06:00 Ayuk,07:00 Nungthil,Winter,1,Medium,Yes,Low,Good,Yes,No,No,https://manipurtourism.gov.in,https://example.com/vishnu.jpg,Open,15-10-2023,25-08-2025
