Event_ID,Place_ID,Event_Name,Event_Category,District,Venue,Description,Organizer,Contact_Person,Phone_Number,Email,Official_Website,Latitude,Longitude,Start_Date,End_Date,Start_Time,End_Time,Duration_Days,Season,Expected_Visitors,Registration_Required,Entry_Fee_INR,Maximum_Capacity,Remaining_Capacity,Age_Restriction,Suitable_For,Food_Available,Parking_Available,Wheelchair_Accessible,Emergency_Medical_Service,Security_Available,Event_Status,Image_URL,Created_Date,Updated_Date
EV015,MP037, Classical Walk 2026,Festival,Kakching,Open Field,"This Festival event at Open Field is a must-attend for anyone visiting Manipur. Classical Walk 2026 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike. ",District Administration,Krishna Thang,-145531,info@classicalwalk2026.in,https://www.classicalwalk2026.com,25.22,93.4561,07-05-2026,11-05-2026,09:00 Ayuk,10:00 Nungthil,4,Summer,8055,No,200,16110,8022,None,"Students, Tourists, Researchers",Yes,No,Yes,No,Yes,Completed,https://example.com/event15.jpg,25-03-2025,17-07-2025
EV026,MP029,Keibul Walk 2025,Food,Tengnoupal,Meeting Hall,"This Food event at Meeting Hall is a must-attend for anyone visiting Manipur. Keibul Walk 2025 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",Adventure Club,Leima Ningombam,-114383,info@keibulwalk2025.org,https://www.keibulwalk2025.com,24.0747,94.415,13-07-2026,21-07-2026,10:00 Ayuk,10:00 Nungthil,8,Monsoon,14395,Yes,500,68414,54362,Above 12,"Researchers, Students",No,No,Yes,No,Yes,Ongoing,https://example.com/event26.jpg,22-07-2025,03-12-2026
EV076,MP018,Dzuko Tournament 2024,Photography,Jiribam,Meeting Hall,"This Photography event at Meeting Hall is a must-attend for anyone visiting Manipur. Dzuko Tournament 2024 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",Manipur Handloom Board,Krishna Devi,-522623,info@dzukotournament2024.in,NULL,25.1898,93.4176,22-09-2026,01-10-2026,11:00 Ayuk,09:00 Nungthil,9,Monsoon,22420,No,200,84168,62196,None,"Adventure Lovers, Photographers",No,Yes,No,No,No,Ongoing,https://example.com/event76.jpg,04-11-2024,19-04-2025
EV075,MP033, Food Exhibition 2025,Food,Tengnoupal,Cultural Hall,"This Food event at Cultural Hall is a must-attend for anyone visiting Manipur. Food Exhibition 2025 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike. ",University,Arjun Singha,-235965,info@foodexhibition202513@gmail.com,NULL,25.2719,93.4883,13-01-2024,22-01-2024,09:00 Ayuk,10:00 Nungthil,9,Winter,7261,No,100,71968,65160,Above 12,Everyone,No,Yes,Yes,No,No,Upcoming,https://example.com/event75.jpg,16-10-2023,13-02-2025
EV010,MP040,Wildlife Exhibition 2026,Exhibition,Noney,Community Centre,"A grand Exhibition event celebrating the rich cultural heritage of Manipur. Wildlife Exhibition 2026 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",Local Cultural Committee,Wungnao Shimray,-360420,info@tpst,NULL,24.1793,93.9509,24-07-2024,26-07-2024,10:00 Ayuk,10:00 Nungthil,2,Monsoon,8251,Yes,50,16502,8600,None,Everyone,Yes,Yes,No,Yes,Yes,Ongoing,https://example.com/event10.jpg,03-03-2024,21-03-2025
EV070,MP040,Orchid Camp 2025,Cultural,Tengnoupal,Main Ground,"This Cultural event at Main Ground is a must-attend for anyone visiting Manipur. Orchid Camp 2025 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",Adventure Club,Priya Rao,-583444,info@bfcl,https://www.orchidcamp2025.com,25.481,93.7025,05-07-2024,12-07-2024,10:00 Ayuk,08:00 Nungthil,7,Monsoon,4759,No,1000,67120,62382,Above 21,"Children, Families, Tourists",No,No,No,No,No,Completed,https://example.com/event70.jpg,21-07-2023,06-11-2026
EV037,MP014,Tamenglong Utsav 2026,workshop,Kakching,Amphitheatre,"A grand Workshop event celebrating the rich cultural heritage of Manipur. Tamenglong Utsav 2026 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",Local Cultural Committee,Leima Ningombam,-751470,info@tamenglongutsav2026.org,NULL,24.6487,93.9497,17-06-2024,19-06-2024,08:00 Ayuk,10:00 Nungthil,2,Summer,5812,No,100,51312,45686,Above 12,Everyone,Yes,Yes,Yes,No,No,Postponed,https://example.com/event37.jpg,18-03-2024,03-07-2025
EV097,MP047,Wildlife Carnival 2025,CULTURAL,Jiribam,Community Centre,"This Cultural event at Community Centre is a must-attend for anyone visiting Manipur. Wildlife Carnival 2025 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",Private Organizer,Arjun Gupta,-648077,info@optht,NULL,24.3639,93.8131,14-08-2025,21-08-2025,10:00 Ayuk,08:00 Nungthil,7,Monsoon,3083,No,0,17339,13840,Above 18,"Children, Families, Tourists",No,No,No,Yes,Yes,Cancelled,https://example.com/event97.jpg,05-08-2023,20-06-2025
EV029,MP022,Manipur Tournament 2024,Wildlife,Tamenglong,Main Ground,"This Wildlife event at Main Ground is a must-attend for anyone visiting Manipur. Manipur Tournament 2024 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",University,Usham Devi,-847864,info@sontc,NULL,24.0033,94.2834,04-02-2026,09-02-2026,10:00 Ayuk,10:00 Nungthil,5,Winter,1396,Yes,200,27026,26048,Above 21,"Researchers, Students",No,No,Yes,Yes,Yes,Ongoing,https://example.com/event29.jpg,20-05-2024,09-11-2025
EV089,MP008,Keibul Festival 2024 1,Exhibition,Imphal East,Amphitheatre,"A grand Exhibition event celebrating the rich cultural heritage of Manipur. Keibul Festival 2024 1 features traditional performances, workshops, and exhibitions. Visitors can enjoy local cuisine, crafts, and interactive activities. The event attracts tourists from across the country.",District Administration,Raj Rao,-658563,info@keibulfestival20241.com,https://www.keibulfestival20241.com,25.3294,93.5502,16-04-2024,20-04-2024,10:00 Ayuk,06:00 Nungthil,4,Spring,47876,Yes,1000,95752,47862,Above 18,"Tourists, Photographers",No,No,Yes,Yes,No,Upcoming,https://example.com/event89.jpg,17-03-2023,07-01-2025
EV064,MP001,Wildlife Carnival 2024,Music,Noney,Meeting Hall,"This Music event at Meeting Hall is a must-attend for anyone visiting Manipur. Wildlife Carnival 2024 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",University,Krishna Kumar,-745673,info@wildlifecarnival2024.in,https://www.wildlifecarnival2024.com,25.2122,93.0857,25-11-2025,02-12-2025,09:00 Ayuk,10:00 Nungthil,7,Autumn,12995,No,50,54089,40870,Above 21,"Children, Families, Tourists",No,Yes,No,No,Yes,Postponed,https://example.com/event64.jpg,09-01-2025,17-07-2025
EV040,MP004,Andro Conference 2026,Exhibition,Tengnoupal,Amphitheatre,"Andro Conference 2026 is a premier Exhibition event organized to promote tourism in Manipur. The festival includes cultural shows, adventure activities, and food stalls. It provides a platform for local artisans and performers to showcase their talents.",Manipur Cultural Academy,Usham Sharma,-543894,info@ipfaj,https://www.androconference2026.com,25.1568,94.038,14-05-2024,24-05-2024,08:00 Ayuk,10:00 Nungthil,10,Summer,26184,Yes,50,52368,25959,None,"Researchers, Students",No,Yes,No,No,No,Completed,https://example.com/event40.jpg,06-10-2025,14-08-2026
EV081,MP009,Food Concert 2026,Workshop,Thoubal,Meeting Hall,"This Workshop event at Meeting Hall is a must-attend for anyone visiting Manipur. Food Concert 2026 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",Peace Foundation,Usham Kumar,-527366,info@foodconcert202692@festival.com,https://www.foodconcert2026.com,25.2554,93.1639,08-09-2024,12-09-2024,10:00 Ayuk,10:00 Nungthil,4,Monsoon,42260,No,0,84520,42345,Above 21,"Tourists, Photographers",No,No,No,No,No,Upcoming,https://example.com/event81.jpg,10-04-2024,23-02-2025
EV028,MP039,Keibul Fair 2026 1,Food,Senapati,Cultural Hall,"Join us at Cultural Hall for Keibul Fair 2026 1, a spectacular Food celebration. The event features expert talks, interactive sessions, cultural performances, and plenty of opportunities for photography and exploration.",NGO,Arjun Thang,,,NULL,24.1623,94.4339,16-07-2025,21-07-2025,08:00 Ayuk,05:00 Nungthil,5,Monsoon,18787,Yes,1000,58439,39414,Above 18,Everyone,No,Yes,No,No,Yes,Completed,https://example.com/event28.jpg,06-01-2025,23-09-2026
EV105,MP030,Loktak Expo 2024,Festival,thoubal,Amphitheatre,"This Festival event at Amphitheatre is a must-attend for anyone visiting Manipur. Loktak Expo 2024 offers a unique blend of tradition and modernity with live performances, workshops, and networking opportunities for tourists and locals alike.",District Administration,Raj Rao,-227579,info@loktakexpo202422@gmail.com,NULL,25.4523,94.3257,14-06-2025,19-06-2025,11:00 Ayuk,06:00 Nungthil,5,Summer,7757,No,1000,56015,48025,Above 12,"Families, Senior Citizens",No,Yes,No,No,Yes,Cancelled,https://example.com/event5.jpg,10-08-2024,01-06-2026
