Hotel_ID,Place_ID,Hotel_Name,Hotel_Type,Star_Rating,Average_Rating,Total_Reviews,Price_Per_Night_INR,Distance_From_Place_KM,District,Address,Latitude,Longitude,Check_In_Time,Check_Out_Time,Total_Rooms,Available_Rooms,Room_Type,Air_Conditioning,Free_WiFi,Parking,Restaurant,Room_Service,Swimming_Pool,Gym,Spa,Pet_Friendly,Family_Friendly,Wheelchair_Accessible,Airport_Shuttle,Breakfast_Included,Cancellation_Policy,Phone_Number,Email,Official_Website,Image_URL,Status,Created_Date,Updated_Date
HT024,MP013,Hotel View,Hotel,3,4.1,1415,13362,9.8,Imphal West,"Airport Road 56, Imphal West, Manipur",24.109,93.8889,02:00 Nungthil,12:00 Nungthil,141,124,Executive,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Free Cancellation,-569818,info@hotel.com,https://www.hotel.com,https://example.com/hotel24.jpg,Open,05-01-2024,19-08-2025
HT033,MP009,Inn Mountain,Resort,2,3.6,289,10372,7.3,Imphal West,"Main Road 4, Imphal West, Manipur",24.9742,94.4302,02:00 Nungthil,11:00 Ayuk,224,56,Family Room,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Partial Refund,-347155,info@hotel897@gmail.com,https://www.hotel.com,https://example.com/hotel33.jpg,Temporarily Closed,14-09-2024,24-02-2026
HT032,MP017,Hotel Eco,Lodge,2,4.1,4098,3280,12.5,Noney,"Airport Road 72, Noney, Manipur",24.1666,93.7082,12:00 Nungthil,12:00 Nungthil,104,71,Family Room,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Non Refundable,-746600,info@hotel241@hotmail.com,https://www.hotel.com,https://example.com/hotel32.jpg,Under Renovation,04-12-2023,25-10-2025
HT088,MP015,Lodge View,Eco Resort,3,4,563,11279,17.7,Kakching,"Airport Road 65, Kakching, Manipur",24.399,94.1478,01:00 Nungthil,11:00 Ayuk,196,151,Deluxe,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Non Refundable,-362651,info@hotel831@outlook.com,https://www.hotel.com,https://example.com/hotel88.jpg,Under Renovation,20-09-2023,06-02-2025
HT010,MP024,Guest House View,Guest House,1,3.5,882,8449,12.1,Imphal East,"Main Road 81, Imphal East, Manipur",24.2331,93.665,12:00 Nungthil,11:00 Ayuk,231,48,Dormitory,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Non Refundable,,,NULL,https://example.com/hotel10.jpg,Under Renovation,02-01-2024,02-07-2026
HT086,MP033,Palace Heritage 20,Heritage Hotel,2,3.7,4356,7633,8.1,Tengnoupal,"Hill Top 84, Tengnoupal, Manipur",25.3252,93.4093,01:00 Nungthil,11:00 Ayuk,177,43,Dormitory,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Non Refundable,-562385,info@hotel.com,https://www.hotel.com,https://example.com/hotel86.jpg,Under Renovation,12-02-2025,12-09-2025
HT015,MP008,Homestay Comfort,Heritage Hotel,5,3,4307,9698,14.6,Jiribam,"Lake View 42, Jiribam, Manipur",25.366,94.0685,01:00 Nungthil,11:00 Ayuk,41,11,Executive,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Free Cancellation,-705398,info@hcqwz,https://www.hotel.com,https://example.com/hotel15.jpg,Under Renovation,17-12-2025,18-08-2026
HT075,MP048,Palace Eco 68,Heritage Hotel,5,5,1578,6464,5.2,Pherzawl,"Main Road 88, Pherzawl, Manipur",25.4987,93.6279,01:00 Nungthil,11:00 Ayuk,190,186,Family Room,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Non Refundable,-360655,info@xtyfh,https://www.hotel.com,https://example.com/hotel75.jpg,Temporarily Closed,18-03-2024,09-04-2025
HT052,MP042,Resort Garden,hotel,1,4,2938,3694,10.5,Chandel,"Market Area 47, Chandel, Manipur",25.0511,93.5018,02:00 Nungthil,12:00 Nungthil,167,45,Standard,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Partial Refund,-277758,info@hotel.com,https://www.hotel.com,https://example.com/hotel52.jpg,Temporarily Closed,11-12-2023,19-03-2026
HT020,MP070, Cottage View 81,Guest House,3,4.8,2773,6501,9.1,Senapati,"Hill Top 68, Senapati, Manipur ",24.0279,94.1546,01:00 Nungthil,12:00 Nungthil,92,6,Dormitory,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Free Cancellation,-259585,info@hotel.com,https://www.hotel.com,https://example.com/hotel20.jpg,Temporarily Closed,12-07-2023,05-09-2025
