Record_ID,Place_ID,Year,Month_Number,Month_Name,Season,Domestic_Visitors,Foreign_Visitors,Total_Visitors,Male_Visitors,Female_Visitors,Children_Visitors,Senior_Citizen_Visitors,Student_Visitors,Group_Visitors,Solo_Visitors,Average_Visit_Duration_Hours,Average_Spending_INR,Weather_Condition,Special_Event,Festival_Season,Visitor_Satisfaction,Revenue_INR,Growth_Percentage,Remarks,Created_Date,Updated_Date
VS000001,MP001,2023,1,January,Winter,41760,4676,46436,22490,23946,4065,3574,5433,17164,29272,5.8,1589.98,Foggy,Yes,No,4.8,73832311.28,-15.9,Peak Season,07-01-2024,21-06-2025
VS000002,MP001,2024,2,February,Winter,33359,1224,34583,16238,18345,2813,1462,3650,9149,25434,3.8,1266.47,Sunny,Yes,No,4.6,43798332.01,-8.9,Festival Crowd,08-09-2024,21-11-2025
VS000003,MP001,2023,3,March,Spring,25504,1016,26520,12752,13768,1515,1230,2400,10074,16446,3.2,1699.19,Cloudy,No,No,4.2,45062518.8,10.7,Rain Affected,20-12-2025,04-12-2025
VS000004,MP001,2025,4,April,Spring,22717,1335,24052,12873,11179,1349,1550,3251,9063,14989,4.6,1785.99,Windy,No,No,4.6,42956631.48,1.3,Off Season,13-11-2025,03-09-2025
VS000005,MP001,2024,5,May,Summer,17944,1525,19469,10571,8898,1350,1722,1656,7586,11883,2.3,826.67,Rainy,No,No,4.4,16094438.23,26.5,Peak Season,03-08-2023,22-04-2025
VS000006,MP001,2023,6,June,Summer,12845,667,13512,7228,6284,1263,1114,1117,4479,9033,3.7,1257.19,Windy,Yes,No,3.8,16987151.28,-2.8,Weekend Rush,09-04-2024,02-07-2025
VS000007,MP001,2024,7,July,Monsoon,12891,1522,14413,7260,7153,1558,801,1430,4969,9444,2.1,1133.98,,No,No,4.2,16344053.74,-18.1,Heavy Rain,18-09-2024,18-02-2025
VS000008,MP001,2025,8,August,Monsoon,14415,1682,16097,8146,7951,1359,1226,1557,6049,10048,1.8,898.37,Cloudy,No,No,4.4,14461061.89,-19.7,Monsoon Season,18-07-2025,19-10-2025
VS000009,MP001,2025,9,September,Monsoon,13122,1418,14540,6708,7832,1009,773,1318,4669,9871,4.4,955.52,Windy,Yes,No,4.6,13893260.8,-7.2,Off Season,01-07-2024,15-10-2025
VS000010,MP001,2024,10,Octauryober,Autumn,24929,730,25659,13076,12583,2534,2194,3163,8517,17142,3.4,1704.45,Windy,Yes,Yes,4.8,43734482.55,-11.1,Festival Crowd,23-07-2023,02-05-2025
VS000011,MP001,2025,11,November,Autumn,24577,1473,26050,12949,13101,2313,1307,3328,9549,16501,2.7,1484.08,Rainy,Yes,Yes,4.8,38660284,10.8,Rain Affected,02-01-2025,12-12-2025
VS000012,MP001,2025,12,December,Winter,31224,1419,32643,15434,17209,1947,2676,3265,8761,23882,3.5,908.28,Windy,Yes,No,3.9,29648984.04,25.3,Peak Season,04-02-2024,11-10-2025
VS000013,MP002,2024,1,January,Winter,28973,4005,32978,15594,17384,2724,2614,4494,9218,23760,5.5,1595.39,Clear,No,No,4.5,52612771.42,6.1,Peak Season,09-04-2025,09-12-2025
VS000014,MP002,2024,2,February,Winter,30037,2904,32941,15687,17254,3672,3089,4525,12705,20236,4.8,1604.59,Rainy,No,No,4.4,52856799.19,0.1,Normal Traffic,07-08-2024,25-03-2025
VS000015,MP002,2025,3,March,Spring,23771,2655,26426,12708,13718,1929,2397,3697,8961,17465,3.4,1056.78,Cloudy,Yes,No,5.9,27926468.28,0.7,Holiday Rush,17-03-2023,24-01-2025
VS000016,MP002,2025,4,April,Spring,22596,1182,23778,12779,10999,1365,1742,2668,7061,16717,5.2,826.09,Clear,Yes,No,4.5,19642768.02,23.5,Peak Season,05-08-2025,01-03-2025
VS000017,MP002,2025,5,May,Summer,17943,2316,20259,11080,9179,2153,1275,2770,7459,12800,4.3,842.4,Rainy,Yes,No,4.3,17066181.6,6.1,Normal Traffic,15-03-2025,22-07-2025
VS000018,MP002,2023,6,June,Summer,15354,1722,17076,8353,8723,985,1131,1680,4815,12261,5,946.02,Rainy,No,No,3.8,16154237.52,21.5,Normal Traffic,24-06-2025,08-02-2025
VS000019,MP002,2024,7,July,Monsoon,14811,382,15193,6937,8256,796,918,2203,4463,10730,3,1239.39,Sunny,Yes,No,4.1,18830052.27,8.9,Heavy Rain,13-03-2025,25-06-2025
VS000020,MP002,2023,8,August,Monsoon,12819,450,13269,6011,7258,918,718,1203,3744,9525,3.6,1307.94,Foggy,No,No,4.3,822218.55,11.7,Heavy Rain,21-09-2025,11-01-2025
VS000021,MP002,2025,9,September,Monsoon,15215,1794,17009,9352,7657,1231,853,2426,4899,12110,4.9,1095.88,Foggy,Yes,No,3.8,18639822.92,-18.8,Normal Traffic,07-12-2023,09-05-2025
VS000022,MP002,2024,10,October,Autumn,27646,3138,30784,15133,15651,3677,1677,3649,11763,19021,1.6,1531.6,Rainy,Yes,No,4.6,47148774.4,13.2,Off Season,01-07-2023,12-12-2025
VS000023,MP002,2024,11,November,Autumn,27101,3276,30377,14497,15880,1755,1232,3763,8877,21500,3.4,1027.63,Rainy,No,Yes,4.5,31216316.51,0.2,Normal Traffic,15-01-2023,01-08-2025
VS000024,MP002,2024,12,December,Winter,32943,4391,37334,19584,17750,2673,2432,3300,11786,25548,4.2,1669.61,Windy,Yes,No,4.5,62333219.74,26.4,Peak Season,08-06-2024,12-05-2025
VS000025,MP003,2025,1,January,Winter,32156,3190,35346,18391,16955,2326,2943,4716,11406,23940,5.8,918,Foggy ,Yes,No,4.6,32447628,-19.7,Peak Season ,20-08-2024,03-09-2025
VS000026,MP003,2025,2,February,Winter,32012,1805,33817,15621,18196,1978,1395,4003,8941,24876,4,1586.6,Cloudy,No,No,4,53654052.2,3.4,Rain Affected,21-02-2024,23-06-2025
VS000027,MP003,2024,3,March,Spring,31024,2162,33186,17114,16072,2561,1446,3511,9406,23780,2.4,828.4,Rainy,Yes,Yes,4.6,27491282.4,-0.6,Off Season,13-05-2024,14-02-2025
VS000028,MP003,2023,4,April,Spring,20524,1742,22266,12244,10022,1948,1017,2138,8103,14163,5.6,1077.79,Sunny,Yes,No,4.3,23998072.14,12,Weekend Rush,12-06-2025,19-04-2025
