Weather_ID,Place_ID,Year,Month_Number,Month_Name,Season,Average_Temperature_C,Minimum_Temperature_C,Maximum_Temperature_C,Humidity_Percentage,Rainfall_mm,Wind_Speed_kmph,Weather_Condition,Air_Quality_Index,UV_Index,Visibility_KM,Sunrise_Time,Sunset_Time,Tourism_Suitability,Weather_Warning,Created_Date,Updated_Date
WT000736,MP062,2023,4,April,Spring,24.2,14.4,30.2,59,50.7,4.3,Sunny,98,3,2.2,05:20 Ayuk,07:54 Nungthil,Good,No,16-10-2023,04-04-2026
WT000839,MP070,2025,11,November,Autumn,17.7,10.1,24.3,58,0,4.6,Foggy,106,8,11.4,04:34 Ayuk,07:52 Nungthil,Good,No,08-01-2023,20-12-2026
WT000384,MP032,2024,12,December,Winter,14.7,5.6,20.7,69,26.3,5.6,Rainy,96,3,11.6,04:42 Ayuk,05:30 Nungthil,Excellent,No,12-09-2023,19-01-2025
WT000767,MP064,2023,11,November,Autumn,17.7,9.6,24,60,4.5,5.3,Partly Cloudy,88,9,9.3,05:24 Ayuk,05:28 Nungthil,Good,No,17-01-2024,02-12-2026
WT000680,MP057,2024,8,August,Monsoon,26.1,16.2,31.1,82,213.7,6.3,Heavy Rain,141,9,9.2,06:12 Ayuk,05:08 Nungthil,Poor,Flood Warning,22-01-2023,20-02-2025
WT000368,MP031,2024,8,August,Monsoon,25.2,16.6,32,79,193.9,8.1,Cloudy,102,4,8.6,04:58 Ayuk,07:27 Nungthil,Poor,No,12-10-2025,07-08-2026
WT000283,MP024,2024,7,July,Monsoon,26.9,16.6,32.7,90,193.4,9.1,Rainy,106,5,4.4,06:55 Ayuk,07:54 Nungthil,Poor,No,07-10-2023,13-03-2026
WT000555,MP047,2025,3,March,Spring,19.8,11.8,26.8,57,0,5.8,Rainy,51,5,9.7,06:29 Ayuk,05:39 Nungthil,Good,No,02-01-2024,01-01-2026
WT000245,MP021,2024,5,May,Summer,24.7,14.6,33.2,77,99.2,7.2,,86,9,10.3,05:58 Ayuk,06:22 Nungthil,Moderate,,23-09-2024,07-07-2025
WT000394,MP033,2023,10,October,Autumn,22.6,11.6,28.9,64,64.3,5.4,Heavy Rain,85,9,6.4,04:57 Ayuk,07:09 Nungthil,Good,No,13-08-2024,25-04-2025
WT000535,MP045,2024,7,July,Monsoon,26.5,16.4,32,79,252,7.6,Clear,91,6,11.7,04:14 Ayuk,05:29 Nungthil,Poor,Flood Warning,17-11-2025,01-01-2026
WT000765,MP064,2024,9,September,Monsoon,24.8,13.9,30.9,77,117.9,6.6,Foggy,108,7,11.6,04:45 Ayuk,07:40 Nungthil,Poor,No,17-01-2025,07-05-2025
WT000174,MP015,2024,6,June,Summer,25.8,18.6,32.9,84,199.5,7.3,Windy,146,10,9,05:21 Ayuk,07:42 Nungthil,Moderate,Flood Warning,20-10-2023,22-09-2026
WT000766,MP064,2024,10,October,Autumn,20.5,11.9,29.2,70,37.3,3.7,Windy,81,5,6.8,04:50 Ayuk,06:09 Nungthil,Good,No,05-10-2023,10-10-2025
WT000728,MP061,2024,8,August,Monsoon,26.1,16.3,29.8,86,192.6,7.6,Rainy,108,3,3.3,06:35 Ayuk,07:20 Nungthil,Poor,Flood Warning,23-07-2023,14-07-2026
WT000841,MP001,2024,1,January,Winter,14.6,6.6,21.5,66,0,5.4,Windy,84,8,10.3,04:01 Ayuk,05:38 Nungthil,Excellent,No,14-05-2023,17-06-2025
WT000468,MP039,2024,12,December,Winter,14.9,6.3,21.9,78,0,4.1,Cloudy,50,10,9.6,04:15 Ayuk,05:29 Nungthil,Excellent,No,25-04-2023,07-11-2026
WT000370,MP031,2024,10,October,Autumn,23.1,13.9,27.2,80,64.7,5.3,,126,7,6.3,04:49 Ayuk,05:04 Nungthil,Good,,06-11-2025,25-03-2026
WT000527,MP044,2024,11,November,Autumn,17.1,10.6,26.4,67,30.7,2.1,Rainy,113,4,7.8,04:12 Ayuk,06:10 Nungthil,Good,No,20-02-2023,18-11-2025
WT000236,MP020,2025,8,August,Monsoon,25.2,15.7,30.3,79,222.8,6.1,Partly Cloudy,141,3,4.9,06:41 Ayuk,05:39 Nungthil,Poor,Flood Warning,23-02-2025,05-05-2025
WT000597,MP050,2024,9,September,Monsoon,25.3,16.5,31.2,71,150.8,8.5,Rainy,93,9,5.2,05:41 Ayuk,07:53 Nungthil,Poor,No,25-12-2023,03-09-2026
WT000591,MP050,2023,3,March,Spring,20.9,9.8,27,62,47.2,7.9,Partly Cloudy,112,5,10.6,06:23 Ayuk,07:43 Nungthil,Good,No,09-02-2024,23-03-2025
WT000334,MP028,2025,10,October,Autumn,21.9,12.7,29,69,72.7,3.8,Clear,144,5,10.5,04:20 Ayuk,05:14 Nungthil,Good,No,07-12-2023,22-08-2025
WT000780,MP065,2023,12,December,Winter,13.3,7.4,21.1,71,24.3,5.2,Rainy,82,8,5.3,04:51 Ayuk,05:05 Nungthil,Excellent,No,24-10-2023,22-07-2026
WT000377,MP032,2023,5,May,Summer,24.6,17.1,34.1,76,62.8,7.7,Rainy,118,3,7.1,04:29 Ayuk,05:23 Nungthil,Moderate,No,13-03-2025,14-02-2026
WT000748,MP063,2025,4,April,Spring,23.2,13.6,30,66,37,5,Windy,101,3,7,06:57 Ayuk,05:32 Nungthil,Good,No,18-02-2025,16-12-2026
WT000242,MP021,2025,2,February,Winter,17.3,8.9,24.6,72,0,6.7,Sunny,83,8,6.5,05:57 Ayuk,05:29 Nungthil,Excellent,No,25-06-2023,22-11-2026
WT000004,MP001,2025,4,April,Spring,23,12.6,30.9,63,22,6.6,Partly Cloudy,67,4,7.6,05:32 Ayuk,05:43 Nungthil,Good,No,05-10-2023,12-10-2025
WT000487,MP041,2025,7,July,Monsoon,25.2,18.1,30.6,85,233.6,9.3,Partly Cloudy,117,9,4.5,04:02 Ayuk,05:15 Nungthil,Poor,Flood Warning,24-07-2025,06-07-2026
WT000825,MP069,2025,9,September,Monsoon,23.8,15.6,29.2,77,121,5.6,Heavy Rain,125,4,8.7,05:46 Ayuk,07:30 Nungthil,Poor,No,11-02-2024,12-08-2025
WT000567,MP048,2023,3,March,Spring,20.7,12.5,29.2,66,31.8,5.5,Cloudy,70,5,10.3,06:31 Ayuk,05:59 Nungthil,Good,No,23-11-2023,21-12-2025
WT000150,MP013,2025,6,June,Summer,25.8,17,34.6,83,600,7.8,Rainy,144,9,10.7,05:33 Ayuk,05:18 Nungthil,Moderate,No,07-11-2024,14-04-2026
WT000520,MP044,2024,4,April,Spring,21.8,14.2,31.5,70,67.6,6.3,Sunny,118,6,4.7,04:46 Ayuk,05:57 Nungthil,Good,No,24-02-2023,16-07-2025
WT000279,MP024,2024,3,March,Spring,19,10.7,29.2,52,55.8,6.3,Cloudy,68,3,6.5,04:12 Ayuk,06:17 Nungthil,Good,No,05-07-2024,21-09-2026
WT000386,MP033,2025,2,February,Winter,14.7,8,25.1,57,50.4,6.7,Windy,135,9,6,06:00 Ayuk,07:39 Nungthil,Excellent,No,22-01-2024,03-05-2025
WT000710,MP060,2025,2,February,Winter,15.2,8.5,23,71,0,7,Rainy,81,7,9,04:13 Ayuk,07:44 Nungthil,Excellent,No,02-11-2023,10-02-2025
WT000264,MP022,2025,12,December,Winter,14.2,7.6,21.9,70,1.5,6.1,Partly Cloudy,139,9,5.5,05:16 Ayuk,05:28 Nungthil,Excellent,No,19-09-2023,07-10-2026
WT000819,MP069,2025,3,March,Spring,21.2,10.9,27.8,63,17,5.1,Clear,99,7,7.6,06:19 Ayuk,05:00 Nungthil,Good,No,19-08-2025,12-06-2025
WT000164,MP014,2025,8,August,Monsoon,26.4,15.8,30.4,94,178.9,6.3,Clear,78,9,4.1,06:39 Ayuk,05:09 Nungthil,Poor,Flood Warning,23-08-2023,03-11-2025
WT000142,MP012,2024,10,October,Autumn,20.9,12.9,28.1,70,65.6,7,Sunny,142,6,4.7,04:24 Ayuk,06:11 Nungthil,Good,No,13-09-2024,07-04-2026
