Restaurant_ID,Place_ID,Restaurant_Name,Restaurant_Type,Cuisine,Average_Rating,Total_Reviews,Average_Cost_For_Two_INR,Distance_From_Place_KM,District,Address,Latitude,Longitude,Opening_Time,Closing_Time,Seating_Capacity,Indoor_Seating,Outdoor_Seating,Takeaway,Home_Delivery,Online_Booking,Vegetarian,Vegan,Non_Vegetarian,Local_Manipuri_Food,Parking,Wheelchair_Accessible,Family_Friendly,Payment_Method,Phone_Number,Email,Official_Website,Image_URL,Status,Created_Date,Updated_Date
RS047,MP015,Green Cafe,Family Restaurant,Fusion,2.6,1649,2879,11,tamenglong,"Hill Side 11, Tamenglong, Manipur",24.4747,94.2734,11:00 Ayuk,12:00 Ayuk,65,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,All,-928680,info@restaurant117@tourism.in,https://www.restaurant.com,https://example.com/rest47.jpg,Open,19-12-2024,02-04-2026
RS107,MP029,Tharon Cafe,Cafe,"Continental, Cafe",3.4,1494,291,9.7,Ukhrul,"Airport Road 18, Ukhrul, Manipur",24.2063,93.0638,11:00 Ayuk,08:00 Nungthil,144,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Debit Card,-305560,info@restaurant493@gmail.com,https://www.restaurant.com,https://example.com/rest107.jpg,Temporarily Closed,13-02-2024,04-09-2025
RS170,MP014,Heritage Dhaba 1,Restaurant,Indian,3.3,5359,537,10.4,Churachandpur,"Airport Road 52, Churachandpur, Manipur",25.3364,94.4295,10:00 Ayuk,12:00 Ayuk,23,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Net Banking,-372090,info@restaurant734@yahoo.com,https://www.restaurant.com,https://example.com/rest170.jpg,Under Renovation,11-11-2025,12-08-2025
RS119,MP058,Heritage Kitchen 1,Restaurant,"Indian, Chinese",4.5,4724,1111,1.3,Imphal West,"Airport Road 99, Imphal West, Manipur",25.0712,93.8663,10:00 Ayuk,08:00 Nungthil,34,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Cash,-777305,info@restaurant72@gmail.com,https://www.restaurant.com,https://example.com/rest119.jpg,Temporarily Closed,24-08-2025,05-12-2026
RS091,MP024,Kangla Food Court,Restaurant,Vegetarian,6.3,5152,1202,0.8,Tamenglong,"Temple Road 88, Tamenglong, Manipur",25.4767,94.4758,11:00 Ayuk,12:00 Ayuk,152,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Net Banking,-956383,info@restaurant641@manipurfoods.com,https://www.restaurant.com,https://example.com/rest91.jpg,Temporarily Closed,21-11-2025,12-11-2026
RS066,MP037,Dzuko Diner,Bakery,"Vegetarian, Fast Food",4.1,3115,1756,9.1,Chandel,"Hill Side 59, Chandel, Manipur",24.2651,93.4084,11:00 Ayuk,12:00 Ayuk,172,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Credit Card,-188647,info@restaurant97@gmail.com,https://www.restaurant.com,https://example.com/rest66.jpg,Temporarily Closed,17-03-2025,23-11-2026
RS072,MP047,Keibul Spot 1,Food Court,Cafe,4.6,5497,924,12.1,Churachandpur,"Airport Road 8, Churachandpur, Manipur",24.7651,93.6044,11:00 Ayuk,11:00 Nungthil,135,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,UPI,-586294,info@restaurant324@hotmail.com,https://www.restaurant.com,https://example.com/rest72.jpg,Under Renovation,25-09-2024,01-07-2025
RS020,MP024,Green Food Court,Food Court,Fast Food,4.5,2916,1855,0.4,Senapati,"Lake Front 44, Senapati, Manipur",24.3052,93.289,11:00 Ayuk,11:00 Nungthil,164,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,UPI,-493967,info@restaurant21@tourism.in,https://www.restaurant.com,https://example.com/rest20.jpg,Open,02-12-2024,07-12-2025
RS103,MP003,Loktak House,Restaurant,"Vegetarian, Fast Food",2.5,3842,1243,1.9,Ukhrul,"Hill Side 17, Ukhrul, Manipur",25.483,93.1013,10:00 Ayuk,08:00 Nungthil,296,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,"Cash, UPI",-686771,info@restaurant222@tourism.in,https://www.restaurant.com,https://example.com/rest103.jpg,Temporarily Closed,21-03-2024,22-07-2025
RS204,MP039,Dzuko Food Court,Restaurant,Cafe,2.9,4198,1224,14.4,Bishnupur,"Temple Road 6, Bishnupur, Manipur",25.4057,94.4614,10:00 Ayuk,10:00 Nungthil,33,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Credit Card,-824023,info@restaurant.com,https://www.restaurant.com,https://example.com/rest4.jpg,Under Renovation,20-07-2024,14-03-2025
